QunNum,MastQQ,CreateDate,Title,Class,QunText
18296572,4,2007-11-25,10专升本财管,22,沒有人咒駡天氣炎熱，也沒有人抱怨如山的書本；我们的大學，就这样悄无声息地拉开了帷
18296573,11,2008-10-31,伦言,2733,聊天
18296574,28,2006-01-14,小学同学,4262,北京市海淀区实验小学六年级十一班2002年毕业学生群<br/>
18296576,1,2005-12-02,ｑīηｇ太慶太莪最愛,1226,ｑīηｇ太慶太莪最愛，莪永遠支持妳～～
18296577,11,2005-12-02,家人,0,
18296578,2,2005-12-02,音像制品交流,58,各位有啥好玩的地方或者性息请拿出来交流!!!
18296579,3,2006-07-11,╄→☆．ｍＥ,145,︶ㄣ[*’簞純僦⒋倖輻]ǐ┈快樂才昰終點.<br/>
18296581,9,2006-03-09,心情笔记,319,"为爱执着,为你执着!"
18296582,51,2005-12-05,05卫保,4272,
18296583,1,2006-04-21,再续前缘,4294,不准别的班级的人加!!!
18296584,1,2005-12-02,333,267,
18296585,2,2005-12-02,好好好,2596,``````````````````````````````````````
18296586,7,2005-12-02,ˉ蠻淚┆缃纞,4266,゛..挑戰峩.鉨鈈夠檔佽..゛<br/>
18296587,17,2005-12-02,奸亽傢鏃ｖ1p°,319,綄羙啲緈諨.繻偠②个人來爭取〆茹菓祢給我.﹏1oo﹪啲眞伈灬我噲還祢;ら:
18296589,1,2005-12-02,疯狂ガ鱤覺,1,
18296590,21,2008-05-19,^%怺逺哋萠伖^v^,21,进来的朋友给成真名~谢谢
18296591,22,2006-07-25,新区社会化管理,13,
18296592,10,2005-12-02,乄邎戲壹鉎のＷo,319,┈Ｗǒ`Dê女亾ご`誰吔吥許碰︵否則.o─→拚掵
18296593,1,2010-04-12,゛鹣鲽情深ゞ,73,
18296594,39,2005-12-02,"__夕日_,⒐⒋班",4074,
18296595,19,2007-03-01,9-45班,20,营口市农业工程学校94-5班
18296596,1,2007-09-15,麼麼尛樂|&acute;,21,"──/=兲黒,箛獨!&acute;〕●.與世隔絕■.〣○.o芐個輪絗：_硪該何祛何從﹖"
18296597,3,2005-12-02,fghfd,2350,是朋友都可以加，多来几个美女。呵呵！<br/>
18296598,3,2006-06-26,同丰医药营销一群,395,深耕云南、规范管理、稳步发展
18296599,7,2006-07-11,华丽邂逅.,59,
18296600,19,2006-09-15,经作021,4294,经作021班同学录
18296601,8,2010-03-13,3203,18,3203
18296602,2,2009-01-17,00,4279,随便
18296603,13,2005-12-09,快乐之家,4253,进群者：文明
18296604,6,2005-12-11,酥饼群,314,mp_autoteambalance0http://club.campus.sohu.com/r-143513999-600489-0-1468-0.htm
18296605,21,2006-04-21,：靣之詞っ,59,hubaoqian111qwe4903582
18296606,9,2005-12-04,破ъī學校シ殳臉說,4059,我到底误会了她了吗？我怎么不放心她呢啊。也许是我太爱她了，也许是我管闲事了，总之
18296607,7,2005-12-23,2011给力耶........,187,免费拿話費兩百块!群里的朋友们用手机拨打12590576233参加移动嘉年华答题就可以了，
18296608,6,2005-12-02,大家聊聊,188,
18296609,7,2005-12-02,爱情不打折￥,318,因酷被判刑
18296610,40,2006-01-06,03财会班,4272,"本群不支持陌生人进群,如果是本班同学进群,请标注真实姓名通过验证后方可进群。"
18296611,27,2005-12-02,初中会,393,
18296612,27,2005-12-02,天下会,13,我们在这里播种。<br/>收获的是希望。
18296613,29,2005-12-02,初九八级同学,2807,南部县三中初九八级一、二班
18296614,8,2005-12-09,“贱”,4207,游戏爱好者的天堂~
18296615,28,2006-03-09,我爱佳佳,141,
18296616,78,2006-05-04,ω︶ㄣ邂逅┮,22,有一種相識叫做偶遇，<br/>有一種相見叫做重遇，<br/>有一種相知叫做知遇.......
18296617,3,2006-10-03,友谊之群,316,▼ˊ.忽橪;…﹣;想讓袮知噵﹖﹣;
18296618,1,2006-02-22,计算机,193,765478393358.140.238.222222.125.172.89
18296619,68,2009-08-17,说灬壹声再见,4274,同学朋友
18296620,43,2010-07-17,℡独特式、情,0,欢迎朋友们，来聚一聚、
18296621,40,2008-04-27,真实的谎言,129,每一个人不见得有实话，但不能有谎言，善意的谎言也是一种福．
18296623,50,2005-12-02,0⒎幼师①.,4270,
18296625,4,2006-10-06,梦幻人生,393,改变所有的错!让我从头爱过!改变所有的错!再错也不回头!就是我的承诺
18296626,5,2005-12-02,《奇迹最亲密的人》,3553,我们是最亲密的人！不管有什么事只要~想想`身后的我们，我们会永远支持你！因为你行的
18296627,17,2006-03-05,2004级三班,67,一个传奇班``
18296628,15,2006-03-21,戰┵,1,
18296630,10,2006-02-22,有空联系,131,
18296631,1,2006-04-19,99级计算机班,2121,
18296632,9,2005-12-02,群领导,4190,
18296634,37,2005-12-02,漫步丛林,12,到ＢＢＳ登记，大家的家，大家建。
18296635,22,2006-08-05,命中、注定,4,≤命中、注定≥注定、ai厮守
18296636,27,2006-04-22,湘潭县二职中专136班,4278,湖南一湘潭一永恒
18296637,7,2007-03-17,EPSON,176,爱普生（技术）有限公司
18296638,37,2007-07-02,絕戀乄兄弟姐妹乄蔀落,18,让我们一起“奋斗”吧！
18296640,1,2005-12-02,gf,1225,
18296641,2,2005-12-02,lalala,393,
18296642,28,2007-04-01,(_少爺家族,2,戀伱唯独╰ァ刪除記忆再花鈊啲侽λ也絵侑⒈個鈊愛
18296643,27,2008-01-01,结晶的兄弟姐妹,1431,重庆宜化联碱的都可以进哈。
18296644,3,2005-12-02,乖乖听话,398,~~~~~~~~~~~~~~~
18296645,32,2005-12-02,硚口区科学教师群,182,硚口区科学教师群
18296647,23,2005-12-02,网络情缘,4282,
18296648,17,2006-01-01,猪光帝景丸管理中心,2215,
18296650,25,2005-12-02,渝北分公司,197,
18296651,2,2006-05-22,雲中,4,
18296652,4,2006-09-24,不得不爱,390,(_ぺ头发乱⑦う⑻糟(~(~)ご~Оо衣服3破④烂ミの┊┊上课睡睡觉|┈─σ.~メ下课
18296653,22,2007-06-27,└.|蕝版|`人物,3260,
18296654,6,2006-06-26,烂群,2849,<br/>黑桌摆勒西`~<br/>不犯法
18296655,1,2005-12-11,十八的群,72,
18296656,2,2005-12-02,★滺樂╭⌒圜о,16,
18296657,9,2005-12-02,【同学】之心言,8,聊聊就好了
18296658,41,2008-05-30,爱的小屋,4279,
18296659,33,2005-12-02,鞍师化学05级2班,22,辽宁省鞍山市师范学院化学系05级2班师范专业将来的老师。
18296660,1,2005-12-02,空群,161,
18296661,23,2005-12-10,友情岁月,3499,
18296662,2,2008-04-10,钩编初学者,3499,为钩针初学者扫盲
18296663,2,2005-12-02,小猫小狗,59,~~~~
18296664,19,2005-12-02,_獨愛﹏★,57,后半天工人
18296665,29,2006-09-16,壹⌒㈨bān,2230,人见人爱噶一9班!同学录!
18296666,13,2006-01-01,┢┦aｐㄗy,147,简单的幸福？在哪？
18296667,28,2005-12-02,②oo⑧.高Ⅰ⑩②班,4281,
18296668,34,2006-09-16,杨汉高三十七班,395,最幸福的天堂
18296669,57,2006-06-06,好消息大家看群资料,187,鍏嶈垂鎷胯┍璨诲叐鐧惧潡!缇ら噷鐨勬湅鍙嬩滑鐢ㄦ墜鏈烘嫧鎵25906421228鍙傚姞渚ｅ
18296670,46,2010-06-06,╰☆消逝了的青春,4274,在我们自己的群里，就是好啊！！！在这都是同学！！！
18296671,7,2006-02-22,詠恒dê承諾o,141,
18296672,22,2005-12-02,机933,395,同学群
18296673,25,2005-12-02,昆15中初8班,2329,
18296675,11,2010-08-13,时尚商业群,0,大家交流下怎么开店啊
18296676,1,2007-04-20,物以类聚,21,如果你爱运动，爱玩的话
18296678,33,2005-12-12,高三二班,0,
18296679,56,2010-12-14,丨天宇丨,402,
18296680,21,2010-10-12,挖掘机精英人才群,62,沟通无处不在
18296681,17,2005-12-02,活得精彩,18,有烟出的地方就有罗定人！
18296683,6,2007-05-02,え魔兽队友ぇ,262,大家一起的玩啊
18296684,3,2009-05-13,淘淘便宜货,395,
18296685,6,2005-12-02,￡秋雨的同学们§,2156,我们是一家人~
18296686,27,2009-05-07,普兴初中2002级4班,319,你是否感觉生活在精彩之余，也让你疲惫不甚呢？用一颗真诚的心交流吧，这里会让你明白
18296687,1,2009-08-17,So。love,22,
18296688,1,2005-12-02,帝王谷,0,
18296689,2,2007-07-31,深圳,3499,
18296690,2,2005-12-02,∧—∧⊙—⊙,2022,
18296691,3,2007-07-06,wewe4trf,3540,werr
18296692,29,2005-12-02,天下╭☆╯好友,132,
18296693,66,2009-11-30,何必、委屈求全,319,~我为你疯狂..。。
18296694,3,2006-04-09,胡歌高级群,2191,这个群是唐光明特意为你们创的，希望大家要好好珍惜我们之间的友谊
18296695,9,2005-12-02,200805161经管,162,
18296696,38,2007-07-04,看群公告！好消息！,187,免费拿話費兩百块!群里的朋友们用手机拨打1259071565参加娱乐大本营答题就可以了，?
18296697,1,2005-12-02,猛龙过江,4103,http://xyq.17173.com/content/2006-08-25/1156492953.shtml
18296698,5,2010-02-12,南苑山庄捣蛋群,4279,哈哈哈，欢迎这小区的人家入！！！
18296699,12,2005-12-02,缘份的天空,16,有志于为新余的单身朋友创造一个互动的空间与平台。
18296700,4,2006-07-05,习惯就好,18,"我个人的群,不惯的一律不加"
18296701,15,2005-12-03,劉億幫,392,國米愛好著綪榗16160387
18296702,1,2005-12-02,无聊的人,3499,
18296703,4,2005-12-02,血统舆荣誉（唐門）,2818,http://games.qq.tengxin.com13730653527龙<br/>15848627728龙哥
18296704,4,2006-06-19,龍魂靑龍中变群,314,都兄弟~~能在一起就是缘分
18296705,1,2006-03-07,1212,2,
18296706,16,2005-12-02,舒氏家族,394,
18296707,3,2007-09-17,甜酒俱乐部,246,甜酒，小钵子甜酒~
18296708,19,2005-12-02,。臭。味。相。投。,2215,华阳小学2001届1班专属群
18296709,5,2010-05-16,Maybe,4264,
18296710,2,2005-12-02,John丿灬星陨阁,1069,┌當紟社澮ヤ綹行箪身……◇.﹎.擺个ㄗòsら.︷<br/>︷.頭髮甩起︷簲酒灌起..
18296711,2,2008-06-19,4444,19,444
18296712,1,2008-11-21,偉ぶ﹏ㄨ誔,2179,士大夫赶得上
18296713,38,2005-12-02,王者二十九,2572,29班的地盘，别人闪边去。
18296714,8,2005-12-02,郴州地带,2738,吖————————
18296715,68,2006-05-22,A5俱乐部,3632,欢迎加入A5俱乐部
18296716,19,2005-12-02,幻雪,143,
18296717,43,2005-12-16,初三（2）班,319,如果你系我噶初中同学就可以加人拉~~~~~
18296718,6,2006-03-16,财贸中专,393,
18296719,6,2006-05-18,个性空间,178,
18296720,1,2005-12-02,applex,0,
18296721,16,2009-08-17,奥斯天下,277,
18296722,29,2006-04-27,【开心e族】总部,319,欢迎您加盟!
18296723,11,2006-03-14,天使de眼泪,20,我们是最棒的！
18296724,2,2005-12-29,帝王本色,3,
18296726,32,2005-12-02,食品061,395,大轻—生院—食品061不是别进！！！http://photo.163.com/photos/syspkx061
18296727,3,2005-12-02,我爱我家,1573,
18296729,53,2005-12-02,拉普兰德,2849,"有事找我,没事找我~~~"
18296730,12,2005-12-02,05图形图象,145,
18296731,11,2005-12-02,～～贵族～～,11,
18296732,24,2008-10-31,⊙﹍↘初④(①●)癍●,4274,是同学的家进来了，有多少要多少！！！<br/>
18296733,55,2010-06-10,祝桥足球群,4264,
18296736,2,2005-12-07,这里有个群,20,KSWZGB0404513<br/><br/>269105505<br/>
18296737,11,2007-02-22,高三职业,13,把认识的同学都拉近来吧!
18296739,1,2009-02-02,326112121,398,4545454
18296740,3,2008-09-06,大话多区群,71,想认识天下五湖四海的朋友
18296741,2,2005-12-02,梦幻之家,4,玩梦幻的来吧+++
18296742,8,2006-07-23,好消息大家看群资料,187,浠婂ぉ鎴戝ソ寮績鍝鍏嶈垂鎷胯┍璨诲叐鐧惧潡!缇ら噷鐨勬湅鍙嬩滑鐢ㄦ墜鏈烘嫧鎵
18296743,3,2005-12-02,盘龙书院,304,
18296744,5,2010-10-12,(_獨Ｔё氣质-雨轩,9,雨轩群里不是美女就是靓仔，只有做雨轩品牌，才会在服装事业上留下光辉的业绩。。。
18296745,11,2008-10-02,★☆宝贝天团☆★,52,我们都是宝贝~~~
18296747,4,2006-01-09,一路走过,67,
18296748,13,2006-03-03,茳濵灬瞱猷镞,316,---
18296749,55,2006-06-16,深圳会计考试（二群）,161,会计学习\考试交流!
18296750,25,2008-03-24,07届高三（6）...,4289,化隆一中2007届高三（6）班
18296751,18,2009-03-03,无限极之家,0,
18296752,4,2005-12-02,流口水~~~,13,Zhaoli要的爱是100%`如果不能给`请一定不要靠近我`OK~~~~~
18296753,21,2005-12-28,天缘,7,
18296754,66,2006-04-22,高三五班,4295,
18296755,7,2010-05-09,气死牛牛,395,
18296756,1,2006-10-10,111,4294,互相转告联系哈.争取都能联系到.
18296757,14,2006-10-07,⑸メ寝室Θ兄弟,4282,
18296758,28,2005-12-02,開始的狂想,395,
18296759,1,2005-12-02,有志不在年高,0,-
18296760,2,2005-12-02,卡通,20,
18296761,16,2005-12-02,行辕二家,187,来吧来吧来吧都来喝酒啊
18296762,31,2006-04-23,2007届初三3班,395,闲聊～<br/>
18296763,16,2007-01-06,＼╲後徻迶期,21,我是你们的哥哥
18296764,7,2009-01-18,兄弟们!,58,
18296765,13,2005-12-02,小草^_^之家,21,蝴蝶再美;°☆卻飛卟過滄海.!╰
18296766,45,2006-06-05,3班,7,“喜歡是ー種感覺”ヅ爹Ta說俺笨
18296767,1,2005-12-27,终点3,319,
18296768,2,2009-05-29,甜甜蜜蜜,20,
18296769,3,2005-12-02,【永恒】刘德华,1056,http://www.188qq.com/
18296770,6,2009-09-22,鬼庄,316,<br/>寂寞时，聊聊天；<br/>开心时，喝喝酒;<br/>郁闷时，谈谈心--
18296771,2,2006-02-22,网络,395,
18296772,13,2006-10-08,軍岖倶泺蔀,2014,怺逺哋涟隊~！
18296774,1,2005-12-02,注册类,395,一年又一年的过去了，但是我总觉得好像总是那么无助。谁来救救我啊
18296775,17,2005-12-14,兄弟★永恒,20,
18296776,10,2005-12-02,永远III班,394,莪罘過昰個孩孓﹐``
18296778,52,2005-12-18,鸦滩中学,4271,
18296779,46,2005-12-02,ヤoゞ無聲荼靡aiǒ,319,友情天地*^o^*<br/>敞开心菲一起分享<br/>加群者须写明入群理由！<br/>
18296780,6,2005-12-09,壊之族,395,
18296781,91,2006-06-15,南农同人交流群,3111,南农同志自己的群^^
18296783,21,2006-02-26,二班家园,4271,温暖的家园!希望大家都可以幸福快乐~~~
18296784,6,2006-01-08,也许先生001,185,
18296785,7,2006-07-13,健康,4,是的
18296786,37,2007-08-02,2007203010班,393,这个都知道，就不用了吧……
18296787,48,2005-12-02,04生1,395,
18296788,33,2007-02-18,※『终极二班』※,308,
18296789,16,2005-12-07,Ｗǒ楆喫ホ棒ホ棒,55,纗薆鍀佬嘙~！！<br/>谁要是有邱文玉的电话``请打电话0991-8412733找我`
18296790,2,2006-05-10,看群公告！好消息！,187,
18296791,35,2008-11-28,云南保山家族！,2866,誐蘂飛羏
18296792,29,2009-08-17,电气9318,0,上海的同学
18296793,1,2005-12-02,一线天,20,
18296794,13,2007-01-18,冷血人,1133,是兄弟就进来！
18296795,70,2005-12-02,怺逺の初三.⑤班,4282,╭⌒&gt;﹎╭⌒&gt;~~&gt;_&lt;~~﹎跟ωà琓嗰性ǐò︷oo妳他媽的ヤ.︵還钸够铛<br/>
18296797,3,2008-08-02,９枂⑵拾⒈號硪娶袮,20,
18296798,26,2010-03-14,09级化学系2班,4276,一群来自五湖四海的兄弟姐妹组成的集体，我们要好好地一起努力、共同进步！
18296799,2,2006-02-22,郑州登封职业中专微机,0,郌@
18296800,76,2005-12-05,安徽华源医药{太和},3519,"欢迎医药界人士的加入,不管你在天涯，还是在海角,只要你是医药同行本群就欢迎你的加入"
18296801,64,2005-12-29,街头混龙梦工厂,187,
18296802,206,2006-03-31,上林县城关中学达人,4280,女人有政策，男人有对策，女人似乎不可能永远栓住男人。
18296804,10,2005-12-09,山经毕业生就业信息网,2118,山东经济学院毕业生就业信息网<br/>http://job.sdie.edu.cn
18296806,75,2009-06-19,0000000,303,每一天充满开心感...
18296807,14,2006-03-01,世纪乡风,2002,暗号照旧
18296808,2,2010-05-10,靖江同城交友(限单身),315,
18296809,4,2008-03-20,群里送话费，看群公告,187,鍏嶈垂鎷胯┍璨诲叐鐧惧潡!缇ら噷鐨勬湅鍙嬩滑鐢ㄦ墜鏈烘嫧鎵25906421228鍙傚姞渚ｅ
18296810,21,2006-12-24,潇訫殿,4085,
18296811,1,2010-07-14,QQ群,0,
18296812,1,2006-04-22,ㄜ☆嬌氣⑩哫2,144,問卋间：　亂⒎㈧糟__
18296813,33,2010-08-20,延吉河南统计,2049,本群是工作群，非工作人员禁入。
18296814,4,2006-03-01,群,395,真的是一个群
18296815,3,2005-12-10,℡（基地组织）︶ㄣ,3157,℡（基地组织）︶ㄣ联系我~~~~TEL：QQ398969315<br/>创建人；（冰山一角），
18296816,2,2007-11-01,缘分,398,缘分
18296817,4,2007-04-12,不得不爱,3238,
18296818,32,2006-03-16,我们年轻＼所以疯狂,147,本群自由选择``只有一点``名字必须统一`想退则退`绝不强留`<br/>黑名单√XX一星期不
18296819,21,2006-03-09,猫&amp;爺ヤ家族,1474,"欢迎美女,帅哥，加入，让我们共创&quot;情缘&quot;!"
18296820,16,2006-08-14,（NaturalBeauty）,21,...
18296821,5,2008-08-21,“动物园”,18,忿泗們!<br/>死党啊`````
18296822,1,2006-09-20,＂冭兲眞,129,"_ɑ祗要峩嘻歡,冇ィ+厶⒏苛y!"
18296823,3,2005-12-02,星座缘分,129,︻$▅▆▇◤︻$▅▆▇◤︻$▅▆▇◤<br/>︻$▅▆▇◤︻$▅▆▇◤︻$▅▆▇◤<br/>
18296824,31,2005-12-09,→お詠℃遠シvs,22,恨就要舍弃!~~爱过的珍惜拥有`1`
18296825,3,2005-12-02,花兒樂隊湖北歌迷会,2,﹏..&acute;.、爱.花儿&amp;﹏.σ`欢迎加入
18296826,20,2005-12-10,小年电脑全省联盟,3512,本群组仅限我司与市内各县区、乡镇渠道分销商交流使用，非以上区域商家谢绝申请加入！
18296827,14,2005-12-02,ぅ呦児圜み菋畢業,145,ぅ呦児圜み菋畢業み个黎，要徳慶架。。。。
18296828,5,2005-12-02,兄弟,246,
18296830,40,2005-12-09,昌城仔集团,2795,
18296831,14,2010-05-14,2008---2009安阳对口,187,
18296832,55,2005-12-02,高三十班,4276,匆匆人生路，誰會有第二次高中？寂寞行人路，一句同學妳是何感受？
18296833,7,2005-12-02,423,187,
18296834,25,2005-12-02,Happyangels,7,
18296836,5,2010-11-02,色狼天团╮,398,
18296837,46,2008-03-24,群群群,1118,丘:220顾:723俊:330兴:412蚊:612娟:1024敏:907妮：721达：816
18296838,7,2005-12-02,好消息大家看群资料,187,鍏嶈垂鎷胯┍璨诲叐鐧惧潡!缇ら噷鐨勬湅鍙嬩滑鐢ㄦ墜鏈烘嫧鎵25906421228鍙傚姞渚ｅ
18296839,44,2005-12-12,〃〃MakeLove々,1059,
18296840,6,2005-12-02,骂人大会,55,是人就别跑..来了就别回..不然像狗一样爬
18296841,1,2008-02-12,...,20,...
18296842,5,2005-12-02,同事,1910,
18296843,14,2008-03-24,内部组织,78,去小伙裤子紧，赶啥都有引<br/><br/>岁数大人裤带松，赶啥啥不中
18296844,12,2005-12-02,DOTA,1,夜深人静的时候就是我们发挥本性的时候~~你想知道怎么才犀利么？广告时间别走开！
